title,genres,keywords,director,cast,year,vote_average,runtime,overview,country
"Ratsasan","Crime Thriller Mystery","mind-bending serial killer investigation psychological tense dark claustrophobic alone","Ram Kumar","Vishnu Vishal Amala Paul Saravanan Kaali Venkat",2018,8,170,"An aspiring filmmaker-turned-police sub-inspector uses his deep knowledge of psycho-killer cinema to track down a predatory serial killer terrorizing schoolgirls.",India
"Badla","Mystery Crime Thriller","mind-bending locked room murder mystery twists unreliable narrator puzzle","Sujoy Ghosh","Amitabh Bachchan Taapsee Pannu Amrita Singh Tony Luke",2019,7.1,118,"A dynamic young entrepreneur finds herself locked in a hotel room with the corpse of her dead lover. She hires an undefeated veteran lawyer to solve how it happened in three hours.",India
"Game Over","Thriller Mystery Drama","mind-bending time loop video game home invasion alone claustrophobic paranoia","Ashwin Saravanan","Taapsee Pannu Vinodhini Vaidyanathan Anish Kuruvilla",2019,7,102,"A video game designer suffering from PTSD and anniversary depression finds her house invaded by a mysterious intruder, forcing her into a psychological time loop.",India
"No Smoking","Thriller Mystery Drama","mind-bending kafkaesque surreal psychological labyrinth existential alone","Anurag Kashyap","John Abraham Ayesha Takia Paresh Rawal Ranvir Shorey",2007,6.8,125,"A chain-smoker visits a mysterious rehabilitation center Prayogshala run by an eccentric guru, only to find himself trapped in a nightmarish Kafkaesque labyrinth.",India
"Bhool Bhulaiyaa","Comedy Horror Mystery","mind-bending dissociative identity disorder palace psychological manjulika funny","Priyadarshan","Akshay Kumar Vidya Balan Shiney Ahuja Ameesha Patel Paresh Rawal",2007,7.4,159,"When an ancestral palace is reopened by a returning prince, strange events begin occurring. A non-conformist psychiatrist is called in to separate ancient ghost lore from psychological trauma.",India
"Kalki 2898 AD","Science Fiction Action Fantasy","mind-bending dystopian sci-fi mythology ashwatthama post-apocalyptic spectacle","Nag Ashwin","Prabhas Amitabh Bachchan Kamal Haasan Deepika Padukone Disha Patani",2024,7.2,181,"In a post-apocalyptic future in the year 2898 AD, a battle erupts in the last surviving city of Kasi as forces fight over the unborn avatar predicted to end the Kali Yuga.",India
"Ugly","Thriller Crime Mystery Drama","dark mind-bending greed kidnapping unflinching alone noir","Anurag Kashyap","Rahul Bhat Ronit Roy Tejaswini Kolhapure Vineet Kumar Singh",2013,7.7,128,"When a struggling actor leaves his ten-year-old daughter in a car and she vanishes, the search spirals into a venomous web of ego, greed, and moral decay.",India
"Vikram","Action Crime Thriller","black ops cartel guns adrenaline intense spectacle friends","Lokesh Kanagaraj","Kamal Haasan Vijay Sethupathi Fahadh Faasil Suriya Narain",2022,7.9,175,"A special undercover black-ops commander emerges from the shadows to dismantle a lethal drug syndicate run by a masked kingpin, triggering an all-out warfare.",India
"Kaithi","Action Thriller Crime","one night truck chase father daughter intense claustrophobic pulse-pounding","Lokesh Kanagaraj","Karthi Narain George Maryan Dheena Arjun Das",2019,7.8,145,"A newly released prisoner on his way to see his daughter is forced to drive a truck full of poisoned police officers to the hospital while escaping heavily armed mercenaries.",India
"Vikram Vedha","Action Crime Thriller","riddle morality cat and mouse vikramaditya betal intellectual duel thrilling","Pushkar-Gayathri","R. Madhavan Vijay Sethupathi Shraddha Srinath Varalaxmi Sarathkumar",2017,8,147,"A ruthless and righteous police inspector pursues an elusive gangster, who surrenders and challenges his concept of good and evil through a series of moral riddles.",India
"Manjummel Boys","Adventure Thriller Drama","survival cave rescue friendship brotherhood inspirational tense nail-biting","Chidambaram","Soubin Shahir Sreenath Bhasi Balu Varghese Ganapathi",2024,8.3,135,"Based on an astonishing true incident, a tight-knit group of friends from Kochi travel to Kodaikanal, where one friend falls into the bottomless Guna Cave, leading into an impossible rescue.",India
"A Wednesday!","Drama Thriller Crime","common man mumbai tense hostage telephone pulse-pounding gripping","Neeraj Pandey","Naseeruddin Shah Anupam Kher Jimmy Sheirgill Aamir Bashir",2008,8.1,104,"A retiring police commissioner recounts the most challenging case of his career: a calm Wednesday when an ordinary anonymous citizen phoned in bomb threats across Mumbai demanding justice.",India
"Talvar","Drama Crime Mystery","aarushi murder rashomon effect investigation mind-bending corrupt police alone","Meghna Gulzar","Irrfan Khan Konkona Sen Sharma Neeraj Kabi Sohan Humne",2015,7.7,132,"An experienced investigative officer faces conflicting theories and entrenched department corruption when investigating the double murder of a teenager and the household servant.",India
"Hera Pheri","Comedy Crime","baburao comedy cult classic laugh-out-loud wrong number friends feel-good","Priyadarshan","Paresh Rawal Akshay Kumar Suniel Shetty Tabu Om Puri",2000,7.9,156,"A destitute landlord and two tenants desperately needing money get an accidental wrong-number phone call from a kidnapper, setting off a hilarious kidnapping extortion heist.",India
"Chhichhore","Comedy Drama","hostel life college friends wholesome nostalgic inspiring feel-good","Nitesh Tiwari","Sushant Singh Rajput Shraddha Kapoor Varun Sharma Prateik Babbar Tahir Raj Bhasin",2019,7.8,143,"A tragic incident forces a grieving father to reunite with his college friends, reminiscing about their hostel days as self-proclaimed losers to teach his son the true meaning of life.",India
"Dil Chahta Hai","Comedy Drama Romance","goa trip friendship coming of age feel-good date night cult classic","Farhan Akhtar","Aamir Khan Saif Ali Khan Akshaye Khanna Preity Zinta Dimple Kapadia",2001,7.8,183,"Three inseparable college graduates with vastly different outlooks on love navigate romance, career transitions, and an emotional rift that threatens to test their lifelong bond.",India
"Jab We Met","Romance Comedy Drama","train journey romantic chemistry feel-good geet date night uplifting","Imtiaz Ali","Shahid Kapoor Kareena Kapoor Khan Dara Singh Tarun Arora",2007,7.7,138,"A despondent Mumbai businessman on the verge of suicide wanders onto a train and meets a vivacious, chatterbox Punjabi girl who turns his orderly universe upside down.",India
"Barfi!","Comedy Drama Romance","wholesome darjeeling sweet romance feel-good charming heartwarming","Anurag Basu","Ranbir Kapoor Priyanka Chopra Jonas Ileana D'Cruz Saurabh Shukla",2012,7.7,151,"A charming deaf and mute young man in Darjeeling forms a tender, whimsical bond with an autistic girl and a high-society woman, exploring love beyond societal norms.",India
"Munna Bhai M.B.B.S.","Comedy Drama","jaadu ki jhappi wholesome medical college circuit feel-good family","Rajkumar Hirani","Sanjay Dutt Arshad Warsi Gracy Singh Boman Irani Sunil Dutt",2003,7.7,156,"A good-hearted Mumbai underworld gangster cheats his way into medical college to fulfill his father's dream, healing hospital patients through magical hugs and kindness.",India
"Kumbalangi Nights","Drama Comedy Romance","brotherhood backwaters wholesome feel-good family healing masterpiece","Madhu C. Narayanan","Shane Nigam Soubin Shahir Fahadh Faasil Sreenath Bhasi",2019,8.2,135,"Four conflicted brothers living in a dilapidated home in backwaters of Kumbalangi learn to let go of toxic patterns and stand together through empathy and love.",India
"Stree","Horror Comedy","horror comedy folklore witty friends hilarious witch","Amar Kaushik","Rajkummar Rao Shraddha Kapoor Pankaj Tripathi Aparshakti Khurana",2018,7.3,128,"In a small town, an evil female spirit abducts men during festival season. A talented ladies tailor falls for a mysterious girl while teaming up with his goofy pals to stop the curse.",India
"12th Fail","Drama Biography","inspiring upsc perseverance chambal triumph hope alone re-start","Vidhu Vinod Chopra","Vikrant Massey Medha Shankr Anant V Joshi Anshumaan Pushkar",2023,8.4,147,"Based on the inspiring real life of Manoj Kumar Sharma, who overcomes extreme poverty in Chambal and works as a toilet cleaner and flour mill grinder to conquer the UPSC IPS exam.",India
"Chak De! India","Drama History","inspiring hockey women empowerment underdog 70 minute triumph","Shimit Amin","Shah Rukh Khan Vidya Malvade Sagarika Ghatge Shilpa Shukla",2007,7.8,153,"A disgraced former Indian hockey captain returns to coach the neglected national women's hockey team, uniting sixteen women from disparate backgrounds to fight for world glory.",India
"Soorarai Pottru","Drama Action","inspiring aviation airline perseverance underdog triumph aviation","Sudha Kongara","Suriya Aparna Balamurali Paresh Rawal Urshila Vance",2020,8.2,153,"A former Indian Air Force captain dreams of making aviation accessible to the common man, fighting predatory monopolists and bureaucratic sabotage to launch a low-cost airline.",India
"Jai Bhim","Crime Drama Mystery","courtroom habeas corpus human rights uncompromising inspirational justice","T.J. Gnanavel","Suriya Lijomol Jose K. Manikandan Rajisha Vijayan",2021,8.4,164,"When a marginalized tribal man is falsely accused of theft and disappears from police custody, an unyielding human rights advocate takes up habeas corpus against systemic brutality.",India
"Sita Ramam","Romance Drama War","letters kashmir poetic heartbreaking classic romance date night","Hanu Raghavapudi","Dulquer Salmaan Mrunal Thakur Rashmika Mandanna Sumanth",2022,8.2,163,"An orphaned lieutenant stationed in Kashmir receives anonymous letters from a woman named Sita who claims to be his wife, sparking a timeless love across borders and decades.",India
"Masaan","Drama","varanasi grief heartbreaking poetic caste alone cannes winner","Neeraj Ghaywan","Vicky Kaushal Richa Chadha Sanjay Mishra Shweta Tripathi",2015,7.7,109,"Four separate lives along the sacred Ganges river in Varanasi intersect as they grapple with moral prejudice, societal stigma, grief, and the yearning for new beginnings.",India
"Maharaja","Crime Thriller Mystery Drama","mind-bending twist revenge father-daughter puzzle investigation","Nithilan Saminathan","Vijay Sethupathi Anurag Kashyap Mamta Mohandas Natty",2024,8.5,140,"A barber sets out for vengeance after his home is burglarized and a cherished dustbin named Lakshmi is stolen, but his investigation uncovers a horrifying secret.",India
"Stree 2","Comedy Horror","horror-comedy small-town ghost folklore friends feel-good","Amar Kaushik","Rajkummar Rao Shraddha Kapoor Pankaj Tripathi Abhishek Banerjee",2024,7.6,147,"After the events of Stree, the town of Chanderi is being haunted again, this time by a headless entity named Sarkata who is abducting progressive women.",India
"Deadpool & Wolverine","Action Comedy Science Fiction","superhero buddy funny action friends multiverse","Shawn Levy","Ryan Reynolds Hugh Jackman Emma Corrin Morena Baccarin",2024,7.7,128,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when an existential threat emerges, he teams with Wolverine.",USA
"Jawan","Action Thriller","vigilante action epic father-son justice tense","Atlee","Shah Rukh Khan Nayanthara Vijay Sethupathi Deepika Padukone",2023,7.5,169,"A driven man commits to rectifying the evils in society with help from a group of women who take high-stakes missions to fight corruption.",India
"Animal","Action Drama Crime","dark family-obsession revenge crime-syndicate intense","Sandeep Reddy Vanga","Ranbir Kapoor Anil Kapoor Bobby Deol Rashmika Mandanna",2023,7.2,201,"A father-son relationship carved in blood and obsession drives a son to cross all moral lines to protect his father from lethal assassins.",India
"Aavesham","Action Comedy","feel-good comedy gangster college friends quirky","Jithu Madhavan","Fahadh Faasil Hipzster Mithun Jai Shankar Sajin Gopu",2024,8,158,"Three college students in Bangalore find themselves befriending an eccentric, white-clad local gangster named Ranga to get back at their senior bullies.",India
"Bramayugam","Horror Mystery Thriller","mind-bending black-and-white folk-horror dark atmospheric alone","Rahul Sadasivan","Mammootty Arjun Ashokan Sidharth Bharathan Amalda Liz",2024,7.9,139,"A court singer escapes captivity and seeks shelter in a mysterious, isolated ancestral mansion ruled by a sinister chieftain with dark occult powers.",India
"Laapataa Ladies","Comedy Drama","feel-good inspiring heartwarming rural-india feminism family","Kiran Rao","Nitanshi Goel Pratibha Ranta Sparsh Shrivastava Ravi Kishan",2024,8.2,122,"In rural 2001 India, two young brides get accidentally swapped on a crowded train when both are wearing identical veils, leading to self-discovery and comedy.",India
"Chandu Champion","Drama History","inspiring biopic sports perseverance emotional","Kabir Khan","Kartik Aaryan Vijay Raaz Bhuvan Arora Rajpal Yadav",2024,8,143,"The unbelievable true journey of Murlikant Petkar, who overcame severe bullet wounds to become India's first Paralympic gold medalist.",India
"Kill","Action Thriller","intense train martial-arts tense survival alone","Nikhil Nagesh Bhat","Lakshya Raghav Juyal Tanya Maniktala Ashish Vidyarthi",2024,7.7,105,"When a passenger train to New Delhi is overtaken by a gang of knife-wielding bandits, an army commando takes on the thugs in a brutal battle to save passengers.",India
"Salaar: Part 1 - Ceasefire","Action Crime Thriller","epic-action friendship crime dark intense","Prashanth Neel","Prabhas Prithviraj Sukumaran Shruti Haasan Jagapathi Babu",2023,7.3,175,"A gang leader tries to keep a promise made to a dying friend and takes on the other criminal gangs in the dystopian city of Khansaar.",India
"Amar Singh Chamkila","Drama Music","music inspiring biopic emotional punjabi alone","Imtiaz Ali","Diljit Dosanjh Parineeti Chopra Apinderdeep Singh Rahul Mittra",2024,8.1,145,"The untold true story of Punjab's original rockstar of the masses, Amar Singh Chamkila, who emerged from poverty to soar to the heights of fame before tragic assassination.",India
"Por Thozhil","Crime Thriller Mystery","mind-bending serial-killer investigation twist tense","Vignesh Raja","Sarath Kumar Ashok Selvan Nikhila Vimal Sarath Babu",2023,8,147,"A faint-hearted rookie cop is partnered with a reclusive, seasoned senior detective to catch a serial killer targeting young women in Trichy.",India
"Iratta","Crime Drama Mystery","mind-bending twist twins dark alone mystery","Rohit M.G. Krishnan","Joju George Anjali Arya Salim Srinda",2023,7.7,114,"Following the shocking death of a policeman at a station, his estranged twin brother unravels a traumatic past that connects them to the crime.",India
"Merry Christmas","Thriller Mystery Romance","mind-bending twist noir christmas alone deception","Sriram Raghavan","Katrina Kaif Vijay Sethupathi Ashwini Kalsekar Luke Kenny",2024,7.3,144,"On Christmas Eve, an uneventful day for two strangers turns into a labyrinth of romance, crime, and deception after a fateful encounter in Mumbai.",India
"Fighter","Action Adventure Thriller","action air-force patriotic aerial-combat intense","Siddharth Anand","Hrithik Roshan Deepika Padukone Anil Kapoor Karan Singh Grover",2024,7.2,166,"Top Indian Air Force aviators come together to form an elite unit called Air Dragons in the face of imminent danger and cross-border terrorism.",India
"Leo","Action Crime Thriller","action lcu hidden-identity tense dark","Lokesh Kanagaraj","Vijay Sanjay Dutt Arjun Sarja Trisha Krishnan",2023,7.4,164,"A quiet cafe owner in Kashmir becomes a hero after defending his town, triggering ruthless gangsters who suspect he is their former enforcer, Leo Das.",India
"Jailer","Action Crime Comedy","action revenge dark-comedy father-son swagger","Nelson Dilipkumar","Rajinikanth Vinayakan Ramya Krishnan Vasanth Ravi",2023,7.5,168,"A retired prison warden goes on a hunt to track down his son's killers and steps back into the dark criminal underworld to protect his family.",India
"Iron Man","Action Science Fiction Adventure","marvel mcu iron man tony stark superhero armor origin story action weapons","Jon Favreau","Robert Downey Jr. Gwyneth Paltrow Jeff Bridges Terrence Howard",2008,7.6,126,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil and becomes Iron Man.",United States
"The Incredible Hulk","Action Science Fiction Adventure","marvel mcu hulk bruce banner superhero rage action monster","Louis Leterrier","Edward Norton Liv Tyler Tim Roth William Hurt",2008,6.2,114,"Scientist Bruce Banner scours the planet for an antidote to the unbridled force of rage within him: the Hulk. But when the military masterminds who dream of exploiting his powers force him back to civilization, he finds himself coming face to face with The Abomination.",United States
"Iron Man 2","Action Adventure Science Fiction","marvel mcu iron man war machine black widow superhero action monaco","Jon Favreau","Robert Downey Jr. Gwyneth Paltrow Don Cheadle Scarlett Johansson",2010,6.8,124,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military.",United States
"Thor","Adventure Fantasy Action","marvel mcu thor loki asgard hammer superhero mythology gods","Kenneth Branagh","Chris Hemsworth Natalie Portman Tom Hiddleston Anthony Hopkins",2011,6.8,115,"Against his father Odin's will, The Mighty Thor recklessly reignites an ancient war. As punishment, Thor is cast down to Earth and forced to live among humans as a mortal.",United States
"Captain America: The First Avenger","Action Adventure Science Fiction","marvel mcu captain america steve rogers world war ii super soldier shield hydra","Joe Johnston","Chris Evans Hayley Atwell Sebastian Stan Tommy Lee Jones",2011,7,124,"During World War II, Steve Rogers is a sickly man from Brooklyn who's transformed into super-soldier Captain America to aid in the war effort against Hydra and the Red Skull.",United States
"The Avengers","Action Adventure Science Fiction","marvel mcu avengers iron man captain america thor hulk loki battle of new york superhero team","Joss Whedon","Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth Scarlett Johansson",2012,7.7,143,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster: The Avengers.",United States
"Iron Man 3","Action Adventure Science Fiction","marvel mcu iron man mandarin ptsd extrems superhero action","Shane Black","Robert Downey Jr. Gwyneth Paltrow Don Cheadle Guy Pearce",2013,6.9,130,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",United States
"Thor: The Dark World","Action Adventure Fantasy","marvel mcu thor loki dark elves infinity stone aether asgard","Alan Taylor","Chris Hemsworth Natalie Portman Tom Hiddleston Stellan Skarsgård",2013,6.5,112,"Thor fights to restore order across the cosmos… but an ancient race led by the vengeful Malekith returns to plunge the universe back into darkness.",United States
"Captain America: The Winter Soldier","Action Adventure Science Fiction Thriller","marvel mcu captain america winter soldier bucky barnes black widow political thriller hydra espionage","Anthony Russo, Joe Russo","Chris Evans Scarlett Johansson Sebastian Stan Anthony Mackie Robert Redford",2014,7.7,136,"After the cataclysmic events in New York, Steve Rogers struggles to embrace his role in the modern world while battling a shadowy assassin known as the Winter Soldier and uncovering a conspiracy within S.H.I.E.L.D.",United States
"Avengers: Age of Ultron","Action Adventure Science Fiction","marvel mcu avengers ultron artificial intelligence scarlet witch quicksilver vision action","Joss Whedon","Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth James Spader",2015,7.3,141,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth's Mightiest Heroes are put to the ultimate test as the villainous Ultron emerges.",United States
"Ant-Man","Action Adventure Comedy Science Fiction","marvel mcu ant-man scott lang heist quantum realm comedy superhero shrinking","Peyton Reed","Paul Rudd Michael Douglas Evangeline Lilly Corey Stoll",2015,7.1,117,"Armed with the astonishing ability to shrink in scale but increase in strength, master thief Scott Lang must embrace his inner-hero and help his mentor, Dr. Hank Pym, protect the secret behind his spectacular Ant-Man suit.",United States
"Captain America: Civil War","Action Adventure Science Fiction","marvel mcu civil war captain america iron man black panther spider-man airport battle conflict","Anthony Russo, Joe Russo","Chris Evans Robert Downey Jr. Scarlett Johansson Sebastian Stan Chadwick Boseman",2016,7.4,147,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to form around Iron Man and Captain America.",United States
"Doctor Strange","Action Adventure Fantasy Science Fiction","marvel mcu doctor strange magic mystic arts multiverse time stone mind-bending visual spectacle","Scott Derrickson","Benedict Cumberbatch Chiwetel Ejiofor Rachel McAdams Tilda Swinton Mads Mikkelsen",2016,7.4,115,"After his career is destroyed in a horrific car crash, brilliant but arrogant surgeon Stephen Strange embraces the mystic arts under the tutelage of the Ancient One, discovering alternate dimensions and mystical powers.",United States
"Guardians of the Galaxy Vol. 2","Action Adventure Comedy Science Fiction","marvel mcu guardians of the galaxy baby groot star-lord ego cosmic comedy soundtrack","James Gunn","Chris Pratt Zoe Saldana Dave Bautista Vin Diesel Bradley Cooper Kurt Russell",2017,7.6,136,"The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage with the celestial being Ego.",United States
"Spider-Man: Homecoming","Action Adventure Science Fiction Comedy","marvel mcu spider-man peter parker vulture iron man high school superhero comedy","Jon Watts","Tom Holland Michael Keaton Robert Downey Jr. Zendaya Marisa Tomei",2017,7.4,133,"Following the events of Captain America: Civil War, Peter Parker attempts to balance his life in high school with his career as the web-slinging superhero Spider-Man under the watchful eye of mentor Tony Stark.",United States
"Thor: Ragnarok","Action Adventure Comedy Fantasy Science Fiction","marvel mcu thor hulk loki hela valkyrie gladiator comedy asgard","Taika Waititi","Chris Hemsworth Tom Hiddleston Cate Blanchett Mark Ruffalo Tessa Thompson",2017,7.6,130,"Thor is imprisoned on the other side of the universe without his mighty hammer and finds himself in a race against time to get back to Asgard to stop Ragnarok—the destruction of his homeworld at the hands of Hela.",United States
"Black Panther","Action Adventure Science Fiction","marvel mcu black panther wakanda killmonger vibranium superhero royalty action","Ryan Coogler","Chadwick Boseman Michael B. Jordan Lupita Nyong'o Danai Gurira Letitia Wright",2018,7.4,134,"King T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader, but soon finds his sovereignty challenged by Erik Killmonger.",United States
"Avengers: Infinity War","Action Adventure Science Fiction","marvel mcu thanos infinity stones the snap avengers guardians cosmic epic heartbreaking superhero","Anthony Russo, Joe Russo","Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans Josh Brolin",2018,8.3,149,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones.",United States
"Ant-Man and the Wasp","Action Adventure Comedy Science Fiction","marvel mcu ant-man the wasp quantum realm ghost comedy superhero","Peyton Reed","Paul Rudd Evangeline Lilly Michael Douglas Michelle Pfeiffer Laurence Fishburne",2018,7,118,"As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.",United States
"Captain Marvel","Action Adventure Science Fiction","marvel mcu captain marvel carol danvers nick fury skrulls kree 1990s cosmic","Anna Boden, Ryan Fleck","Brie Larson Samuel L. Jackson Ben Mendelsohn Jude Law",2019,6.9,124,"The story follows Carol Danvers as she becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.",United States
"Avengers: Endgame","Adventure Science Fiction Action","marvel mcu avengers endgame time heist thanos iron man captain america epic finale superhero","Anthony Russo, Joe Russo","Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth Scarlett Johansson Paul Rudd",2019,8.3,181,"After the devastating events of Infinity War, the universe is in ruins. With the help of remaining allies, the Avengers assemble once more to reverse Thanos' actions and restore order to the universe in an epic time heist.",United States
"Spider-Man: Far From Home","Action Adventure Science Fiction","marvel mcu spider-man mysterio illusions europe peter parker superhero mind-bending","Jon Watts","Tom Holland Samuel L. Jackson Jake Gyllenhaal Zendaya Cobie Smulders",2019,7.4,129,"Peter Parker's relaxing European vacation takes an unexpected turn when Nick Fury shows up in his hotel room to recruit him for a mission with the enigmatic Quentin Beck (Mysterio) to battle four elemental creatures.",United States
"Black Widow","Action Adventure Thriller","marvel mcu black widow yelena belova red room taskmaster espionage superhero action","Cate Shortland","Scarlett Johansson Florence Pugh David Harbour Rachel Weisz",2021,7.2,134,"Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises. Pursued by a force that will stop at nothing to bring her down, Natasha must deal with her history as a spy.",United States
"Shang-Chi and the Legend of the Ten Rings","Action Adventure Fantasy","marvel mcu shang-chi ten rings martial arts wenwu ta lo dragons action","Destin Daniel Cretton","Simu Liu Tony Leung Chiu-wai Awkwafina Meng'er Zhang Michelle Yeoh",2021,7.6,132,"Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization led by his father Wenwu.",United States
"Eternals","Action Adventure Fantasy Science Fiction","marvel mcu eternals celestials immortals cosmic ancient history superhero","Chloé Zhao","Gemma Chan Richard Madden Kumail Nanjiani Angelina Jolie Salma Hayek",2021,6.9,156,"The Eternals, a race of immortal beings with superhuman powers who have secretly lived on Earth for thousands of years, reunite to battle the evil Deviants.",United States
"Spider-Man: No Way Home","Action Adventure Science Fiction","marvel mcu spider-man multiverse tobey maguire andrew garfield green goblin doctor strange emotional superhero","Jon Watts","Tom Holland Zendaya Benedict Cumberbatch Tobey Maguire Andrew Garfield Willem Dafoe",2021,8,148,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man as villains from across the multiverse cross over.",United States
"Doctor Strange in the Multiverse of Madness","Fantasy Action Adventure Horror","marvel mcu multiverse doctor strange scarlet witch wanda maximoff darkhold illuminati horror mind-bending","Sam Raimi","Benedict Cumberbatch Elizabeth Olsen Chiwetel Ejiofor Benedict Wong Xochitl Gomez",2022,7.3,126,"Doctor Strange teams up with a mysterious teenage girl from his dreams who can travel across multiverses, to battle multiple threats, including other-universe versions of himself, which threaten to wipe out millions across the multiverse.",United States
"Thor: Love and Thunder","Fantasy Action Comedy","marvel mcu thor mighty thor gorr gods comedy superhero","Taika Waititi","Chris Hemsworth Christian Bale Natalie Portman Tessa Thompson Russell Crowe",2022,6.4,119,"Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster, who can now wield his hammer as the Mighty Thor, to fight Gorr the God Butcher, who intends to make the gods extinct.",United States
"Black Panther: Wakanda Forever","Action Adventure Science Fiction","marvel mcu wakanda namor talokan shuri grief heartbreaking action","Ryan Coogler","Letitia Wright Lupita Nyong'o Danai Gurira Tenoch Huerta Mejía Angela Bassett",2022,7.2,161,"Queen Ramonda, Shuri, M'Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T'Challa's death as the underwater kingdom of Talokan emerges.",United States
"Ant-Man and the Wasp: Quantumania","Action Adventure Science Fiction","marvel mcu ant-man kang the conqueror quantum realm multiverse science fiction","Peyton Reed","Paul Rudd Evangeline Lilly Jonathan Majors Kathryn Newton Michelle Pfeiffer",2023,6.3,125,"Super-Hero partners Scott Lang and Hope van Dyne return to continue their adventures as Ant-Man and the Wasp. Together, with Hope's parents, they explore the Quantum Realm and interact with strange new creatures and Kang the Conqueror.",United States
"Guardians of the Galaxy Vol. 3","Science Fiction Adventure Action Comedy","marvel mcu guardians of the galaxy rocket raccoon high evolutionary found family heartbreaking inspiring soundtrack","James Gunn","Chris Pratt Zoe Saldana Dave Bautista Karen Gillan Bradley Cooper",2023,8,150,"Peter Quill, still reeling from the loss of Gamora, rallies his team around him to defend the universe and protect one of their own: Rocket. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.",United States
"The Marvels","Science Fiction Adventure Action","marvel mcu the marvels ms marvel captain marvel monica rambeau cosmic comedy","Nia DaCosta","Brie Larson Teyonah Parris Iman Vellani Zawe Ashton Samuel L. Jackson",2023,6.1,105,"Carol Danvers gets her powers entangled with those of Kamala Khan and Monica Rambeau, forcing them to work together to save the universe.",United States
"Spider-Man","Action Adventure","marvel spider-man peter parker green goblin classic nostalgic origin story","Sam Raimi","Tobey Maguire Willem Dafoe Kirsten Dunst James Franco",2002,7.3,121,"After being bitten by a genetically altered spider, nerdy high school student Peter Parker is endowed with amazing powers to fight crime and his arch-enemy, the Green Goblin.",United States
"Spider-Man 2","Action Adventure Drama","marvel spider-man doc ock train fight classic superhero masterpiece nostalgic","Sam Raimi","Tobey Maguire Kirsten Dunst Alfred Molina James Franco",2004,7.3,127,"Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius, who has become a menacing cyborg called Doc Ock.",United States
"Spider-Man 3","Action Adventure Fantasy","marvel spider-man venom black suit sandman new goblin action","Sam Raimi","Tobey Maguire Kirsten Dunst James Franco Thomas Haden Church Topher Grace",2007,6.4,139,"The seemingly invincible Spider-Man goes up against a new crop of villains—including the shape-shifting Sandman and Venom—while an alien symbiote bonds with Peter, bringing out his dark side.",United States
"The Amazing Spider-Man","Action Adventure Fantasy","marvel spider-man andrew garfield gwen stacy the lizard oscorp action","Marc Webb","Andrew Garfield Emma Stone Rhys Ifans Denis Leary",2012,6.7,136,"Peter Parker is an outcast high schooler who was abandoned by his parents as a boy. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today while confronting the Lizard.",United States
"The Amazing Spider-Man 2","Action Adventure Fantasy","marvel spider-man electro gwen stacy clock tower heartbreaking action","Marc Webb","Andrew Garfield Emma Stone Jamie Foxx Dane DeHaan",2014,6.5,142,"For Peter Parker, there's no feeling quite like swinging between skyscrapers, embracing being the hero, and spending time with Gwen. But being Spider-Man comes at a price as Electro emerges.",United States
